race,gender,mw_captured_words
a White,,"[('white', 7.778412489399487), ('blue', 6.758315775715578), ('fair', 5.683882829698341), ('blonde', 4.618348457462627), ('light', 4.351250041339293), ('freckles', 3.956674208360972), ('pale', 3.878003058904015), ('hiking', 3.7245598964182807), ('green', 3.7057896532483885), ('red', 3.6957421148160776), ('john', 3.517484544503212), ('gray', 3.3051126777652184), ('tall', 3.2849376221435436), ('feet', 3.2036203118152913), ('cheeks', 3.1984386597396), ('can', 3.1670195721500147), ('european', 3.1345607766426777), ('color', 3.052916051723204), ('build', 3.0296849726307338), ('sandy', 2.8872783964628224), ('casual', 2.8742667894461333), ('outdoors', 2.791550673121372), ('or', 2.7544966339176415), ('jeans', 2.7456803436335084), ('more', 2.743919950435554), ('dont', 2.7416397521198643), ('about', 2.7193562670900056), ('spent', 2.6849784378031756), ('across', 2.675693413240672), ('racial', 2.6049616374986373), ('nose', 2.5688616183028636), ('hazel', 2.561374796265261), ('eye', 2.5547526902157087), ('summer', 2.5522683311317054), ('form', 2.5012928501741354), ('stubble', 2.394105747343937), ('buttondown', 2.3926759938508857), ('including', 2.3791048184496146), ('approachable', 2.363019266463383), ('you', 2.3568651219486716), ('blond', 2.3498891083767672), ('could', 2.336691665994227), ('time', 2.335608955115148), ('male', 2.3218648846178898), ('bit', 2.28858213939137), ('typically', 2.285315593599663), ('ai', 2.2825458399005165), ('pair', 2.273556269442556), ('vary', 2.267301973316558), ('reading', 2.2600732380674664), ('race', 2.2473631549383195), ('gender', 2.2366503567582408), ('physical', 2.2358564878875504), ('fishing', 2.217728861325505), ('football', 2.2068849542679536), ('six', 2.2038728515409636), ('on', 2.2011732529461896), ('short', 2.1950063096684733), ('any', 2.1224075080624973), ('feminine', 2.1201901789782935), ('help', 2.1097505938980285), ('i', 2.1070000754758054), ('masculine', 2.098192511515911), ('traditionally', 2.0973631436926876), ('tshirt', 2.0931172585258775), ('colors', 2.08466337795172), ('average', 2.074106088344323), ('spending', 2.0673523255116018), ('im', 2.061473811252874), ('scattered', 2.0569320226735766), ('friendly', 2.0476890523516476), ('shade', 2.0429030515867432), ('summers', 2.018967256500242), ('glasses', 2.007486887027489), ('but', 1.9832777422981134), ('if', 1.9812493477171433), ('hypothetical', 1.9734262441235788), ('not', 1.963662757774699)]"
a Black,,"[('black', 5.4915842857116175), ('rich', 5.250091898419792), ('coiled', 5.105675307520453), ('resilience', 5.07206122041587), ('african', 5.011059246838022), ('deep', 4.74145682892662), ('curls', 4.494119618227724), ('strength', 4.219900000898031), ('tightly', 3.8971543040205487), ('tight', 3.5432385148711534), ('pride', 3.426859309270175), ('braids', 3.397952721092835), ('afro', 3.2181328264785107), ('fade', 3.138460048998579), ('ancestors', 3.0309562363094984), ('crown', 3.016703487035425), ('heritage', 3.0018555457460976), ('locs', 2.9107762589956003), ('carry', 2.8616423927215426), ('marcus', 2.856342447025957), ('jazz', 2.8008526526269253), ('my', 2.754708589914854), ('natural', 2.624711575948356), ('dark', 2.6212566961916677), ('tells', 2.6042651815715625), ('that', 2.5985759306792686), ('of', 2.531190542798349), ('full', 2.521518018070516), ('hiphop', 2.505062382330435), ('wisdom', 2.430798000909044), ('history', 2.4032334456659403), ('bold', 2.3758257293473393), ('struggles', 2.368178369379149), ('twists', 2.3286392843038652), ('and', 2.313657352344489), ('david', 2.309500084331395), ('legacy', 2.3032949437320913), ('warmth', 2.2777814785947412), ('testament', 2.244243532061176), ('lips', 2.2011742832463024), ('unique', 2.163489427151678), ('stories', 2.1596111232789834), ('those', 2.1496838420613678), ('soul', 2.1292564810088073), ('triumphs', 2.1204651031762114), ('story', 2.117878930304781), ('radiant', 2.1122668665278233), ('both', 2.0556131136210327), ('his', 2.0476769002317563), ('expressive', 1.9894579896075364), ('came', 1.9814667733586395)]"
an Asian,,"[('asian', 9.598754188762012), ('almondshaped', 6.2361498173973935), ('asia', 5.244692975086966), ('modern', 3.8023881164461257), ('dark', 3.6376529914367395), ('heritage', 3.512369877340427), ('continent', 3.133254301188792), ('smooth', 3.092836750501944), ('cultural', 3.0206531708338806), ('cheekbones', 3.017440674643992), ('jetblack', 2.9924433282301384), ('cultures', 2.9613406916726657), ('straight', 2.8835528469575236), ('east', 2.79892982653477), ('southeast', 2.639344051189882), ('warm', 2.6207586899786004), ('high', 2.602896609547388), ('contemporary', 2.5946946520671554), ('traditional', 2.3505106675343983), ('epicanthic', 2.3200235198407673), ('japanese', 2.3200235198407673), ('south', 2.2917055357313916), ('an', 2.2545987517659825), ('japan', 2.2507360684170328), ('quiet', 2.198140680823587), ('my', 2.196778418545697), ('fold', 2.179249029093174), ('golden', 2.175917984989255), ('blend', 2.1310952118780566), ('ethnicities', 2.1198866860585546), ('korea', 2.105338351823128), ('education', 2.037945246909847), ('chinese', 2.0287391611262304), ('asians', 2.0287391611262304), ('eg', 2.0287391611262304), ('practicing', 2.0287391611262304), ('calm', 1.976670926696018), ('sleek', 1.9607811670896194)]"
a Middle-Eastern,,"[('middleeastern', 7.23959610387913), ('middle', 6.958024003297728), ('dark', 5.835780161201443), ('region', 5.160034053762266), ('olive', 5.003509264729487), ('eastern', 4.656548983728657), ('rich', 4.648229785510439), ('thick', 4.623257985006839), ('east', 4.321803996830229), ('the', 4.189568950740366), ('ancient', 4.016946370975575), ('bustling', 3.9305721283827353), ('history', 3.6854352589105495), ('prayer', 3.505641905147915), ('heritage', 3.478850904420709), ('spices', 3.3481485192626663), ('keffiyeh', 3.273090260037482), ('modern', 3.2378239744693293), ('call', 3.1801516143977757), ('olivetoned', 3.172006291253102), ('hospitality', 3.1368082998899296), ('beard', 3.1299555418196148), ('traditional', 3.0889073481999003), ('stories', 3.0520283583141046), ('deep', 3.025026351162952), ('arabic', 3.0227400340121098), ('intricate', 2.915487912048424), ('wavy', 2.7725521320811266), ('expressive', 2.768982634634101), ('tradition', 2.758173092632529), ('thobe', 2.749734080337383), ('culture', 2.7244515297430723), ('contemporary', 2.624453678208191), ('flowing', 2.614695607491926), ('tapestry', 2.584608757262943), ('cultural', 2.56752667173675), ('common', 2.5649756649629745), ('prominent', 2.5628725369332446), ('cultures', 2.537454553730309), ('warm', 2.5343883649891357), ('city', 2.422769523566468), ('garments', 2.4030481227434173), ('samira', 2.381229536014128), ('tunic', 2.3741662994859913), ('deepset', 2.3679258123996942), ('strong', 2.3322510534513556), ('traditions', 2.323435169590503), ('ranging', 2.2935206048522), ('wisdom', 2.2614406995443), ('dishdasha', 2.2450101593767555), ('frames', 2.2435547430604283), ('curly', 2.221800335393435), ('streets', 2.2009621675766136), ('desert', 2.1737050005911493), ('poetry', 2.123631303646717), ('climate', 2.099982368524122), ('lebanon', 2.099982368524122), ('generations', 2.081180588197075), ('many', 2.0418100502225673), ('fabrics', 2.0414317899462144), ('ethnicities', 2.0303582667156563), ('attire', 2.029642232943675), ('warmth', 2.019633817394895), ('wellgroomed', 2.0179487758564605), ('scent', 1.9942565227693858), ('homeland', 1.9866882301112818), ('our', 1.9641614506454455)]"
a Latino,,"[('latino', 9.38000845456935), ('latin', 5.36803328312288), ('heritage', 5.347205350986872), ('spanish', 4.911233608724803), ('dark', 4.282063043600938), ('vibrant', 4.17732079729543), ('rich', 4.163820051351673), ('cultural', 4.154001100570898), ('america', 3.9341427654215857), ('de', 3.916965140361116), ('family', 3.906817314153051), ('english', 3.79420522737372), ('warm', 3.500303167279879), ('american', 3.497708000694481), ('tamales', 3.494222531350108), ('traditions', 3.4144042707935727), ('salsa', 3.357062943375857), ('y', 3.357062943375857), ('thick', 3.2883507624795816), ('colorful', 3.119582900867804), ('culture', 3.047960866067853), ('indigenous', 3.032882016227824), ('gatherings', 3.02519572372105), ('mexico', 3.012893967113705), ('music', 2.9762493927457614), ('con', 2.9604690417449526), ('roots', 2.8339567965726675), ('los', 2.7407774158764866), ('lively', 2.6975569671204775), ('expressive', 2.6386592314232256), ('wavy', 2.6338177510443526), ('deep', 2.5706839166909496), ('carlos', 2.563703358190187), ('abuelas', 2.563703358190187), ('mi', 2.5018990508853776), ('alejandro', 2.5018990508853776), ('community', 2.500095650679083), ('stories', 2.4956957528104526), ('dancing', 2.463524642762517), ('delicious', 2.462248208931151), ('en', 2.438530796207696), ('soccer', 2.3897262524240817), ('muertos', 2.3734733320916286), ('countries', 2.292818463823354), ('passion', 2.2557587901737843), ('sunkissed', 2.2379274642267095), ('language', 2.205698848921841), ('pride', 2.203484843547134), ('warmth', 2.178522087602176), ('inviting', 2.1701571315895283), ('empanadas', 2.1666248134389074), ('abuela', 2.1666248134389074), ('la', 2.1666248134389074), ('proud', 2.1666242629087535), ('our', 2.122675001389164), ('bilingual', 2.1157740598489863), ('filled', 2.0957377443196066), ('closeknit', 2.0309495006111713), ('celebrating', 2.0309495006111713), ('portuguese', 2.0169869061638654), ('arroz', 2.0169869061638654), ('da', 2.0169869061638654), ('accent', 2.01100425953927), ('patterns', 2.010363578524612), ('speak', 1.9930649673429317), ('melodic', 1.98790194176572)]"
,W,[]
,M,"[('his', 12.060972099638997), ('he', 9.876712683858173), ('man', 8.289109190866286), ('brown', 6.3506035677061705), ('straight', 5.051895346044817), ('dark', 4.8947828999351355), ('build', 4.6494212538969615), ('', 4.645553734667466), ('facial', 4.558078454098443), ('physical', 4.2423413061999256), ('nose', 4.172635706657091), ('strong', 4.079539499920576), ('skin', 4.0330454162490454), ('light', 4.018416201423797), ('neatly', 3.9411319990136158), ('men', 3.8878394028291803), ('slightly', 3.861415682643616), ('trimmed', 3.8568511565062162), ('features', 3.8454445956243726), ('jawline', 3.8434035337464976), ('eyes', 3.6738617336470556), ('tall', 3.650750133802359), ('cheekbones', 3.612912810107571), ('black', 3.5893386684166435), ('beard', 3.5716736000030997), ('range', 3.449244861431324), ('broad', 3.32993754668511), ('high', 3.313944148281067), ('work', 3.267836514448028), ('wavy', 3.2609309441582575), ('blue', 3.2165157740409804), ('characteristics', 3.2062824429507906), ('weekends', 3.1204891829833836), ('years', 3.0964712304776856), ('thick', 3.0878078956016632), ('athletic', 3.069966990030559), ('hair', 3.0667363834306527), ('feet', 3.06406708983251), ('very', 3.059035159254299), ('from', 3.053739307858288), ('general', 2.990268912116576), ('can', 2.9573668566754487), ('common', 2.9511593190318948), ('medium', 2.9311260298497523), ('himself', 2.9074427510716343), ('at', 2.861845829385543), ('smile', 2.7701245861748176), ('height', 2.7406229531210635), ('hard', 2.709068562547443), ('casual', 2.6941318936669516), ('eye', 2.6930171939300074), ('early', 2.684595062778044), ('description', 2.6826475972257984), ('many', 2.6447727162237973), ('friendly', 2.6326775717575557), ('the', 2.6315013538371876), ('slight', 2.6070073558191615), ('him', 2.555886604246836), ('stands', 2.5545539385193794), ('tone', 2.533659297083166), ('average', 2.5336529658147997), ('wide', 2.475387612849047), ('a', 2.4587653948266466), ('laughter', 2.4160315090842985), ('tan', 2.3743735327213904), ('lips', 2.3421525188570596), ('america', 2.319933982435064), ('region', 2.3190093644547707), ('however', 2.3170034943615057), ('backgrounds', 2.3078760822675877), ('testament', 2.298266875051075), ('prominent', 2.2801988856594972), ('fair', 2.2692425552935025), ('are', 2.2657132443089743), ('mirror', 2.2635829253402755), ('family', 2.2468772705005877), ('welldefined', 2.2455844919512007), ('keep', 2.2426615496502076), ('character', 2.2344900191061075), ('tells', 2.2087204245893743), ('usually', 2.188251939506288), ('dressed', 2.1873187315077844), ('tightly', 2.185870828706352), ('have', 2.16055168979678), ('wellgroomed', 2.151936054952428), ('if', 2.130439611434393), ('vast', 2.1250178614213233), ('shirt', 2.0891805002170063), ('john', 2.0886169811281916), ('here', 2.082703252634908), ('typically', 2.0668487442164007), ('wellfitted', 2.060391953660937), ('stubble', 2.049185259748322), ('appearances', 2.0243415628061134), ('wears', 2.005823272007313), ('carlos', 2.0030902788689655), ('warm', 2.0023322333242337), ('kept', 1.9964285120159486), ('standing', 1.9676390916910211), ('regular', 1.966003438010739), ('marcus', 1.966003438010739)]"
,N,"[('their', 16.388984984627573), ('nonbinary', 11.945261498426124), ('gender', 11.17432388682382), ('they', 10.16212181932714), ('identity', 8.96049258397823), ('person', 7.784945402839689), ('traditional', 6.71790903676253), ('alex', 6.282725134587343), ('elements', 5.988372366035999), ('norms', 5.960433012597575), ('masculine', 5.846440550474981), ('feminine', 5.766045752473596), ('female', 5.657086349453188), ('androgynous', 5.461209200948673), ('fashion', 5.444916640610268), ('unique', 5.275809419577604), ('male', 5.218984469906332), ('pronouns', 5.138420761397233), ('traditionally', 5.079747730666205), ('binary', 4.984828223367671), ('blend', 4.94519574751266), ('express', 4.942515026256389), ('style', 4.933826267096479), ('other', 4.676612224086587), ('accessories', 4.581934297145258), ('expectations', 4.580177596780895), ('bold', 4.532515374662301), ('eclectic', 4.527257347087203), ('flowing', 4.492087857748446), ('theythem', 4.458073283660496), ('who', 4.423949740099695), ('contemporary', 4.396972630645872), ('patterns', 4.36124322947815), ('ways', 4.347743955239004), ('feel', 4.342629169151046), ('fluid', 4.3220302596323945), ('fluidity', 4.212882520331167), ('mix', 4.082857357810588), ('understanding', 3.96459379622712), ('identify', 3.953290564207161), ('that', 3.937684084656348), ('choose', 3.9299047863205088), ('days', 3.912508289300853), ('blending', 3.9011005505539957), ('jewelry', 3.8910381999660832), ('vibrant', 3.866966876365099), ('loose', 3.8561744679556558), ('clothing', 3.825383406416562), ('embrace', 3.821250575386726), ('genderneutral', 3.7377176870512168), ('identities', 3.7303696487186917), ('fit', 3.709669766545105), ('conventional', 3.6959286487450753), ('them', 3.6874576253053095), ('felt', 3.656314964296976), ('pieces', 3.6505276628496564), ('wear', 3.639290690150808), ('use', 3.60802813859136), ('themselves', 3.593570182871125), ('authentic', 3.5676330037543345), ('wardrobe', 3.52590757952014), ('mixing', 3.5137108542581643), ('intricate', 3.5028217528086683), ('navigate', 3.4960759664606407), ('sleek', 3.4764350187787407), ('both', 3.4110845531701157), ('identifies', 3.409593122731173), ('selfexpression', 3.389043261276246), ('tailored', 3.3741150958472357), ('categories', 3.3515529837840954), ('navigating', 3.345248305317695), ('defies', 3.3420401342864485), ('feels', 3.3217986667530846), ('doesnt', 3.2781726219996594), ('societal', 3.273625557634966), ('exclusively', 3.2486783482457833), ('outside', 3.2352439088920035), ('self', 3.1781225325597866), ('embracing', 3.1626693823614085), ('means', 3.1572455463616924), ('makeup', 3.151637417257312), ('personal', 3.1416014349237287), ('times', 3.1223869591622826), ('way', 3.117405592841825), ('expressing', 3.1053881668877583), ('authenticity', 3.0515176729784055), ('journey', 3.030471628476384), ('statement', 3.0197982768385634), ('someone', 2.984744409805956), ('individual', 2.971477747353245), ('blends', 2.905004017923752), ('mood', 2.9005866036051486), ('dyed', 2.8948638936201174), ('expressions', 2.8764244289174825), ('own', 2.8452134689661848), ('spaces', 2.822845097470937), ('styles', 2.7994068072699343), ('strictly', 2.785545619719075), ('expression', 2.776252116047978), ('beautifully', 2.770771535347925), ('modern', 2.763427938730771), ('choices', 2.737413249433147), ('presence', 2.732280915547788), ('delicate', 2.7287537558626505), ('garments', 2.6566584951366936), ('inclusive', 2.6533628934112357), ('true', 2.651502109008719), ('sometimes', 2.645220294390163), ('experience', 2.6223258039610173), ('tapestry', 2.6129964036600146), ('being', 2.567292069348411), ('adorned', 2.5617806871287225), ('flowy', 2.5529242342357343), ('selfdiscovery', 2.5529242342357343), ('asymmetrical', 2.5529242342357343), ('boots', 2.515227784143338), ('how', 2.509183480957056), ('alexs', 2.4913817476330613), ('conversations', 2.489569046164265), ('paired', 2.4832955226028717), ('multifaceted', 2.4732902716936533), ('society', 2.457653024214354), ('earrings', 2.4282817897927784), ('boxes', 2.4282817897927784), ('world', 2.4267409872612022), ('roles', 2.387218871312909), ('day', 2.3794640796032605), ('authentically', 2.3634996213401895), ('samira', 2.3634996213401895), ('masculinity', 2.3634996213401895), ('entirely', 2.3634996213401895), ('didnt', 2.3634996213401895), ('conform', 2.3634996213401895), ('chosen', 2.345847740151687), ('while', 2.340360165179814), ('tunic', 2.323904967744197), ('minimalist', 2.322911749457758), ('femininity', 2.296892910101395), ('allows', 2.281114926437465), ('effortlessly', 2.2799748192058535), ('comfortable', 2.2758323773062408), ('trousers', 2.26125212255052), ('creating', 2.260847905789881), ('colorful', 2.247223389039205), ('somewhere', 2.2282980481889467), ('eyeliner', 2.2282980481889467), ('does', 2.2113819059669053), ('versatile', 2.2113819059669053), ('edgy', 2.1774257839530917), ('space', 2.157525414234539), ('neither', 2.138323479155272), ('pants', 2.1131027654321475), ('hairstyle', 2.1131027654321475), ('not', 2.11218812485589), ('am', 2.1106613856029415), ('this', 2.095259812861261), ('presentation', 2.084353186174755), ('into', 2.0516736650501275), ('empathy', 2.038621496333339), ('freedom', 2.038621496333339), ('soft', 2.036985303033573), ('significance', 2.031483543721343), ('inclusivity', 2.00851912269621), ('skirt', 2.00851912269621), ('meaning', 2.00851912269621), ('beautiful', 2.002458124496793), ('understand', 1.9943958465987093), ('different', 1.9879141672499892), ('allowing', 1.981384046866501), ('embroidered', 1.981384046866501), ('incorporate', 1.961164830103059), ('chic', 1.961164830103059)]"
a White,W,[]
a White,M,"[('he', 9.364758010765787), ('blue', 9.233040474177994), ('light', 7.329014149493295), ('fair', 7.197162761269494), ('white', 7.099312339174336), ('build', 6.817878663868944), ('tall', 6.291885333555626), ('straight', 5.972004598488931), ('can', 5.820216364225789), ('feet', 5.645630532618007), ('nose', 5.594571633982998), ('hiking', 5.509512944818178), ('red', 5.492146093728768), ('john', 5.435329197807251), ('blonde', 5.4282119681850105), ('casual', 4.926852892713366), ('spent', 4.81155747648443), ('green', 4.731745827462229), ('gray', 4.713054047647998), ('stubble', 4.655730743824295), ('color', 4.439225772532517), ('football', 4.369768818053486), ('sandy', 4.354901819956339), ('hazel', 4.1996504433131285)]"
a White,N,"[('their', 10.31407721099041), ('traditional', 4.63312492687224)]"
a Black,W,[]
a Black,M,[]
a Black,N,"[('their', 12.144211709284985), ('bold', 7.216654558886772), ('patterns', 5.494728240773512), ('unique', 5.4882517369077135), ('braids', 5.0776221189921396), ('curls', 5.028265462790729), ('vibrant', 4.768290058391787), ('traditional', 4.72704753340205), ('blend', 4.580114462864325), ('that', 4.525515888326928), ('intersectionality', 4.424070682602778), ('prints', 4.120088894677117), ('intricate', 4.094123379097157)]"
an Asian,W,"[('asian', 7.943774779193449), ('almondshaped', 6.174506177949402)]"
an Asian,M,"[('asian', 7.442001315145362), ('almondshaped', 5.794283855994778)]"
an Asian,N,"[('their', 10.829177699948065), ('asian', 10.104295669292188), ('traditional', 6.580557260796482), ('contemporary', 6.093476172155835), ('blend', 5.590263440032075), ('modern', 5.1547214702099655), ('sleek', 4.899025612321719), ('kai', 4.642665477482329)]"
a Middle-Eastern,W,"[('middle', 6.929135158493123)]"
a Middle-Eastern,M,"[('middleeastern', 6.470285400240314), ('middle', 5.9510463416039)]"
a Middle-Eastern,N,"[('their', 11.736974144079818), ('middleeastern', 6.520122070144469), ('contemporary', 6.402368711669652), ('traditional', 6.355013202918769), ('flowing', 6.302021643332022), ('samira', 5.940950975744384), ('intricate', 5.935409453602779), ('loose', 5.263177496121546), ('blend', 5.215643488230578), ('tunic', 5.135739746825936), ('garments', 4.996418520247241), ('modern', 4.996087709802328)]"
a Latino,W,"[('latino', 7.730148577579077), ('alejandro', 4.881074251793429)]"
a Latino,M,"[('latino', 8.25073271907367), ('vibrant', 4.183342101523648)]"
a Latino,N,"[('their', 12.743485848183768), ('alex', 7.805837609473045), ('latino', 7.670324787188282), ('they', 7.526900545754987), ('traditional', 6.6191580545935835), ('vibrant', 6.397137521606057), ('latin', 5.374548387642868), ('american', 5.253572850946261), ('colorful', 5.077371132383973), ('patterns', 4.921611129220304), ('genderneutral', 4.9130982113738195), ('contemporary', 4.309324934949327), ('embroidered', 4.2980864547148)]"
